Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
55:41.4,344.861,55:41.4,62.326,55:41.4,0.195286
55:41.5,344.795,55:41.5,62.3027,55:41.5,0.19578
55:41.6,344.935,55:41.6,62.2103,55:41.6,0.195762
55:41.7,344.81,55:41.7,62.3668,55:41.7,0.19565
55:41.8,344.807,55:41.8,62.3209,55:41.8,0.196002
55:41.9,344.822,55:41.9,62.4446,55:41.9,0.19571
55:42.0,344.823,55:42.0,62.3342,55:42.0,0.19596
55:42.1,344.877,55:42.1,62.3527,55:42.1,0.195513
55:42.2,344.904,55:42.2,62.5099,55:42.2,0.195519
55:42.3,344.907,55:42.3,62.4715,55:42.3,0.19542
55:42.4,344.855,55:42.4,62.2735,55:42.4,0.195123
55:42.5,344.863,55:42.5,62.4341,55:42.5,0.195533
55:42.6,344.853,55:42.6,62.2121,55:42.6,0.195355
55:42.7,344.889,55:42.7,62.2466,55:42.7,0.195183
55:42.8,344.846,55:42.8,62.2847,55:42.8,0.195572
55:42.9,344.884,55:42.9,62.2567,55:42.9,0.195429
55:43.0,344.879,55:43.0,62.266,55:43.0,0.195582
55:43.1,344.926,55:43.1,62.3865,55:43.1,0.195495
55:43.2,344.798,55:43.2,62.1217,55:43.2,0.195001
55:43.3,344.813,55:43.3,62.3664,55:43.3,0.195644
55:43.4,344.797,55:43.4,62.4344,55:43.4,0.195793
55:43.5,344.87,55:43.5,62.1673,55:43.5,0.196027
55:43.6,344.846,55:43.6,62.2564,55:43.6,0.195543
55:43.7,344.859,55:43.7,62.2931,55:43.7,0.195588
55:43.8,344.843,55:43.8,62.2369,55:43.8,0.195516
55:43.9,344.91,55:43.9,62.3337,55:43.9,0.1958
55:44.0,344.905,55:44.0,62.4163,55:44.0,0.195659
55:44.1,344.931,55:44.1,62.4249,55:44.1,0.195435
55:44.2,344.883,55:44.2,62.3825,55:44.2,0.195761
55:44.3,344.903,55:44.3,62.435,55:44.3,0.195314
55:44.4,344.932,55:44.4,62.3716,55:44.4,0.195493
55:44.5,344.908,55:44.5,62.3241,55:44.5,0.195914
55:44.6,344.865,55:44.6,62.3444,55:44.6,0.195997
55:44.7,344.915,55:44.7,62.4358,55:44.7,0.195466
55:44.8,344.789,55:44.8,62.329,55:44.8,0.19557
55:44.9,345,55:44.9,62.2577,55:44.9,0.195856
55:45.0,344.859,55:45.0,62.3792,55:45.0,0.195553
55:45.1,344.887,55:45.1,62.3955,55:45.1,0.196075
55:45.2,344.844,55:45.2,62.3534,55:45.2,0.195752
55:45.3,344.846,55:45.3,62.3134,55:45.3,0.19485
55:45.4,344.775,55:45.4,62.4303,55:45.4,0.195252
55:45.5,344.971,55:45.5,62.3594,55:45.5,0.195897
55:45.6,344.937,55:45.6,62.4967,55:45.6,0.195555
55:45.7,344.951,55:45.7,62.25,55:45.7,0.195684
55:45.8,344.864,55:45.8,62.2678,55:45.8,0.196294
55:45.9,344.9,55:45.9,62.307,55:45.9,0.195927
55:46.0,344.864,55:46.0,62.3347,55:46.0,0.195585
55:46.1,344.831,55:46.1,62.4519,55:46.1,0.195491
55:46.2,344.808,55:46.2,62.2811,55:46.2,0.196007
