Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
04:29.2,498.261,04:29.2,294.223,04:29.2,1.68397
04:29.3,498.153,04:29.3,294.441,04:29.3,1.68434
04:29.4,498.309,04:29.4,294.279,04:29.4,1.68451
04:29.5,498.268,04:29.5,294.352,04:29.5,1.68482
04:29.6,498.218,04:29.6,294.355,04:29.6,1.68418
04:29.7,498.274,04:29.7,294.441,04:29.7,1.68411
04:29.8,498.236,04:29.8,294.281,04:29.8,1.68413
04:29.9,498.195,04:29.9,294.31,04:29.9,1.68452
04:30.0,498.302,04:30.0,294.16,04:30.0,1.6844
04:30.1,498.278,04:30.1,294.549,04:30.1,1.68467
04:30.2,498.262,04:30.2,294.503,04:30.2,1.68398
04:30.3,498.249,04:30.3,294.301,04:30.3,1.68415
04:30.4,498.089,04:30.4,294.386,04:30.4,1.6849
04:30.5,498.188,04:30.5,294.279,04:30.5,1.68416
04:30.6,498.116,04:30.6,294.343,04:30.6,1.68381
04:30.7,498.136,04:30.7,294.51,04:30.7,1.68434
04:30.8,498.245,04:30.8,294.37,04:30.8,1.68471
04:30.9,498.114,04:30.9,294.438,04:30.9,1.68439
04:31.0,498.221,04:31.0,294.392,04:31.0,1.68389
04:31.1,498.157,04:31.1,294.4,04:31.1,1.6841
04:31.2,498.131,04:31.2,294.386,04:31.2,1.68438
04:31.3,498.251,04:31.3,294.54,04:31.3,1.68389
04:31.4,498.017,04:31.4,294.308,04:31.4,1.68426
04:31.5,498.136,04:31.5,294.25,04:31.5,1.68477
04:31.6,498.141,04:31.6,294.334,04:31.6,1.68384
04:31.7,498.188,04:31.7,294.281,04:31.7,1.68433
04:31.8,498.12,04:31.8,294.39,04:31.8,1.68459
04:31.9,498.223,04:31.9,294.268,04:31.9,1.68447
04:32.0,498.268,04:32.0,294.434,04:32.0,1.6846
04:32.1,498.142,04:32.1,294.318,04:32.1,1.68426
04:32.2,498.014,04:32.2,294.548,04:32.2,1.68476
04:32.3,498.143,04:32.3,294.413,04:32.3,1.68405
04:32.4,498.146,04:32.4,294.539,04:32.4,1.68425
04:32.5,498.091,04:32.5,294.446,04:32.5,1.68451
04:32.6,498.136,04:32.6,294.411,04:32.6,1.6845
04:32.7,498.164,04:32.7,294.346,04:32.7,1.68437
04:32.8,498.154,04:32.8,294.468,04:32.8,1.68451
04:32.9,498.109,04:32.9,294.345,04:32.9,1.68431
04:33.0,498.079,04:33.0,294.347,04:33.0,1.68419
04:33.1,498.139,04:33.1,294.451,04:33.1,1.68443
04:33.2,498.113,04:33.2,294.389,04:33.2,1.68476
04:33.3,498.102,04:33.3,294.358,04:33.3,1.68439
04:33.4,498.127,04:33.4,294.395,04:33.4,1.68425
04:33.5,498.16,04:33.5,294.196,04:33.5,1.68462
04:33.6,498.149,04:33.6,294.41,04:33.6,1.68445
04:33.7,498.106,04:33.7,294.33,04:33.7,1.68501
04:33.8,498.088,04:33.8,294.431,04:33.8,1.68437
04:33.9,498.125,04:33.9,294.358,04:33.9,1.68446
04:34.0,498.107,04:34.0,294.555,04:34.0,1.68495
04:34.1,498.127,04:34.1,294.275,04:34.1,1.6845
04:34.2,498.122,04:34.2,294.338,04:34.2,1.68431
04:34.3,498.19,04:34.3,294.381,04:34.3,1.68415
04:34.4,498.143,04:34.4,294.404,04:34.4,1.68494
04:34.5,498.096,04:34.5,294.2,04:34.5,1.68463
04:34.6,498.192,04:34.6,294.454,04:34.6,1.68404
04:34.7,498.129,04:34.7,294.369,04:34.7,1.68399
04:34.8,498.133,04:34.8,294.358,04:34.8,1.68446
04:34.9,498.158,04:34.9,294.323,04:34.9,1.68447
04:35.0,498.105,04:35.0,294.351,04:35.0,1.68433
04:35.1,498.121,04:35.1,294.315,04:35.1,1.68428
04:35.2,498.083,04:35.2,294.432,04:35.2,1.68457
04:35.3,498.049,04:35.3,294.313,04:35.3,1.68483
04:35.4,498.191,04:35.4,294.383,04:35.4,1.68417
04:35.5,498.07,04:35.5,294.34,04:35.5,1.6843
04:35.6,498.064,04:35.6,294.504,04:35.6,1.68407
04:35.7,498.108,04:35.7,294.409,04:35.7,1.68415
04:35.8,498.106,04:35.8,294.255,04:35.8,1.68445
04:35.9,498.02,04:35.9,294.382,04:35.9,1.68438
04:36.0,497.91,04:36.0,294.272,04:36.0,1.68433
04:36.1,498.022,04:36.1,294.456,04:36.1,1.68443
04:36.2,498.046,04:36.2,294.24,04:36.2,1.6849
04:36.3,498.051,04:36.3,294.279,04:36.3,1.68453
04:36.4,498.118,04:36.4,294.234,04:36.4,1.68482
04:36.5,498.145,04:36.5,294.212,04:36.5,1.6838
04:36.6,498.011,04:36.6,294.398,04:36.6,1.68445
04:36.7,498.049,04:36.7,294.356,04:36.7,1.68415
04:36.8,497.975,04:36.8,294.368,04:36.8,1.68451
04:36.9,498.005,04:36.9,294.517,04:36.9,1.68497
04:37.0,498.057,04:37.0,294.541,04:37.0,1.68449
04:37.1,498.017,04:37.1,294.419,04:37.1,1.68449
04:37.2,498.024,04:37.2,294.34,04:37.2,1.68469
04:37.3,498.03,04:37.3,294.202,04:37.3,1.68435
04:37.4,498.037,04:37.4,294.379,04:37.4,1.68423
04:37.5,498.025,04:37.5,294.298,04:37.5,1.6844
04:37.6,498.085,04:37.6,294.312,04:37.6,1.68444
04:37.7,498.064,04:37.7,294.296,04:37.7,1.68464
04:37.8,498.076,04:37.8,294.285,04:37.8,1.68482
04:37.9,497.987,04:37.9,294.431,04:37.9,1.68391
04:38.0,497.972,04:38.0,294.47,04:38.0,1.68419
04:38.1,498.071,04:38.1,294.276,04:38.1,1.68407
04:38.2,498.02,04:38.2,294.336,04:38.2,1.68462
04:38.3,497.989,04:38.3,294.37,04:38.3,1.68489
04:38.4,498.01,04:38.4,294.474,04:38.4,1.68482
04:38.5,498.02,04:38.5,294.275,04:38.5,1.68448
04:38.6,498.042,04:38.6,294.514,04:38.6,1.6845
04:38.7,498.032,04:38.7,294.253,04:38.7,1.68447
04:38.8,497.942,04:38.8,294.187,04:38.8,1.6848
04:38.9,497.993,04:38.9,294.3,04:38.9,1.68435
04:39.0,498.038,04:39.0,294.426,04:39.0,1.68445
04:39.1,498.116,04:39.1,294.469,04:39.1,1.68424
04:39.2,498.049,04:39.2,294.493,04:39.2,1.68447
04:39.3,498.035,04:39.3,294.392,04:39.3,1.68433
04:39.4,498.043,04:39.4,294.307,04:39.4,1.68453
04:39.5,498.001,04:39.5,294.44,04:39.5,1.68423
04:39.6,498.052,04:39.6,294.523,04:39.6,1.68415
04:39.7,497.977,04:39.7,294.462,04:39.7,1.68474
04:39.8,497.915,04:39.8,294.291,04:39.8,1.68465
04:39.9,497.986,04:39.9,294.333,04:39.9,1.68441
04:40.0,497.949,04:40.0,294.294,04:40.0,1.68431
04:40.1,497.966,04:40.1,294.436,04:40.1,1.6849
04:40.2,498.025,04:40.2,294.365,04:40.2,1.68433
04:40.3,498.077,04:40.3,294.361,04:40.3,1.68437
04:40.4,497.872,04:40.4,294.292,04:40.4,1.68479
04:40.5,497.949,04:40.5,294.47,04:40.5,1.68449
04:40.6,498.035,04:40.6,294.435,04:40.6,1.68429
04:40.7,497.875,04:40.7,294.362,04:40.7,1.68472
04:40.8,498.074,04:40.8,294.428,04:40.8,1.68455
04:40.9,497.936,04:40.9,294.371,04:40.9,1.68478
04:41.0,498.001,04:41.0,294.312,04:41.0,1.68415
04:41.1,497.981,04:41.1,294.307,04:41.1,1.68446
04:41.2,497.966,04:41.2,294.317,04:41.2,1.68456
04:41.3,497.943,04:41.3,294.45,04:41.3,1.68427
04:41.4,498.014,04:41.4,294.392,04:41.4,1.68454
04:41.5,497.917,04:41.5,294.29,04:41.5,1.68494
04:41.6,497.941,04:41.6,294.424,04:41.6,1.68474
04:41.7,497.895,04:41.7,294.472,04:41.7,1.68421
04:41.8,497.911,04:41.8,294.24,04:41.8,1.68441
04:41.9,498.026,04:41.9,294.363,04:41.9,1.68446
04:42.0,497.995,04:42.0,294.344,04:42.0,1.68468
04:42.1,497.89,04:42.1,294.262,04:42.1,1.68456
04:42.2,497.922,04:42.2,294.243,04:42.2,1.68449
04:42.3,497.949,04:42.3,294.343,04:42.3,1.685
04:42.4,497.959,04:42.4,294.297,04:42.4,1.68558
04:42.5,497.86,04:42.5,294.265,04:42.5,1.68429
04:42.6,497.899,04:42.6,294.189,04:42.6,1.68439
04:42.7,497.955,04:42.7,294.312,04:42.7,1.68476
04:42.8,497.968,04:42.8,294.389,04:42.8,1.6841
04:42.9,497.911,04:42.9,294.302,04:42.9,1.68391
04:43.0,497.918,04:43.0,294.41,04:43.0,1.68491
04:43.1,497.92,04:43.1,294.273,04:43.1,1.68431
04:43.2,497.917,04:43.2,294.202,04:43.2,1.68478
04:43.3,497.89,04:43.3,294.393,04:43.3,1.68433
04:43.4,497.964,04:43.4,294.165,04:43.4,1.68464
04:43.5,497.924,04:43.5,294.267,04:43.5,1.68411
04:43.6,497.827,04:43.6,294.317,04:43.6,1.68482
04:43.7,497.848,04:43.7,294.408,04:43.7,1.68449
04:43.8,497.94,04:43.8,294.368,04:43.8,1.6846
04:43.9,497.88,04:43.9,294.363,04:43.9,1.6844
04:44.0,497.962,04:44.0,294.549,04:44.0,1.68427
04:44.1,497.868,04:44.1,294.357,04:44.1,1.68487
04:44.2,497.919,04:44.2,294.397,04:44.2,1.68451
04:44.3,497.839,04:44.3,294.197,04:44.3,1.68486
04:44.4,497.887,04:44.4,294.28,04:44.4,1.68413
04:44.5,497.851,04:44.5,294.29,04:44.5,1.68489
04:44.6,497.894,04:44.6,294.346,04:44.6,1.68472
04:44.7,497.838,04:44.7,294.32,04:44.7,1.6848
04:44.8,497.832,04:44.8,294.56,04:44.8,1.68458
04:44.9,497.888,04:44.9,294.36,04:44.9,1.68501
04:45.0,497.874,04:45.0,294.388,04:45.0,1.68458
04:45.1,497.91,04:45.1,294.465,04:45.1,1.68478
04:45.2,497.825,04:45.2,294.381,04:45.2,1.68424
04:45.3,497.853,04:45.3,294.472,04:45.3,1.68499
04:45.4,497.878,04:45.4,294.496,04:45.4,1.68454
04:45.5,497.897,04:45.5,294.367,04:45.5,1.68468
04:45.6,497.861,04:45.6,294.298,04:45.6,1.68457
04:45.7,497.99,04:45.7,294.459,04:45.7,1.68448
04:45.8,497.877,04:45.8,294.268,04:45.8,1.68526
04:45.9,497.767,04:45.9,294.303,04:45.9,1.68466
04:46.0,497.793,04:46.0,294.3,04:46.0,1.68458
04:46.1,497.802,04:46.1,294.207,04:46.1,1.68441
04:46.2,497.886,04:46.2,294.315,04:46.2,1.68485
04:46.3,497.895,04:46.3,294.19,04:46.3,1.68465
04:46.4,497.8,04:46.4,294.374,04:46.4,1.68492
04:46.5,497.927,04:46.5,294.305,04:46.5,1.68416
04:46.6,497.937,04:46.6,294.211,04:46.6,1.68459
04:46.7,497.842,04:46.7,294.082,04:46.7,1.68427
04:46.8,497.848,04:46.8,294.318,04:46.8,1.68466
04:46.9,497.895,04:46.9,294.524,04:46.9,1.68476
04:47.0,497.852,04:47.0,294.374,04:47.0,1.68455
04:47.1,497.914,04:47.1,294.36,04:47.1,1.68471
04:47.2,497.887,04:47.2,294.474,04:47.2,1.68467
04:47.3,497.804,04:47.3,294.195,04:47.3,1.68412
04:47.4,497.919,04:47.4,294.433,04:47.4,1.68465
04:47.5,497.809,04:47.5,294.338,04:47.5,1.68414
04:47.6,497.87,04:47.6,294.325,04:47.6,1.68468
04:47.7,497.773,04:47.7,294.251,04:47.7,1.68446
04:47.8,497.795,04:47.8,294.323,04:47.8,1.68489
04:47.9,497.74,04:47.9,294.265,04:47.9,1.68452
04:48.0,497.767,04:48.0,294.329,04:48.0,1.68491
04:48.1,497.832,04:48.1,294.462,04:48.1,1.68468
04:48.2,497.922,04:48.2,294.223,04:48.2,1.68422
04:48.3,497.867,04:48.3,294.501,04:48.3,1.68492
04:48.4,497.827,04:48.4,294.594,04:48.4,1.6842
04:48.5,497.849,04:48.5,294.398,04:48.5,1.68494
04:48.6,497.9,04:48.6,294.23,04:48.6,1.68417
04:48.7,497.918,04:48.7,294.4,04:48.7,1.68489
04:48.8,497.947,04:48.8,294.42,04:48.8,1.68506
04:48.9,497.793,04:48.9,294.421,04:48.9,1.6843
04:49.0,497.797,04:49.0,294.316,04:49.0,1.6849
04:49.1,497.792,04:49.1,294.406,04:49.1,1.68475
04:49.2,497.906,04:49.2,294.301,04:49.2,1.68435
04:49.3,497.734,04:49.3,294.278,04:49.3,1.68525
04:49.4,497.785,04:49.4,294.285,04:49.4,1.68438
04:49.5,497.766,04:49.5,294.382,04:49.5,1.6847
04:49.6,497.859,04:49.6,294.336,04:49.6,1.68442
04:49.7,497.797,04:49.7,294.267,04:49.7,1.68479
04:49.8,497.705,04:49.8,294.218,04:49.8,1.6848
04:49.9,497.815,04:49.9,294.278,04:49.9,1.68448
04:50.0,497.916,04:50.0,294.324,04:50.0,1.68474
