Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
42:27.2,500.147,42:27.2,314.263,42:27.2,1.31171
42:27.3,500.177,42:27.3,314.022,42:27.3,1.31126
42:27.4,500.195,42:27.4,314.024,42:27.4,1.31151
42:27.5,500.161,42:27.5,314.07,42:27.5,1.31152
42:27.6,500.115,42:27.6,313.964,42:27.6,1.31169
42:27.7,500.092,42:27.7,314.077,42:27.7,1.31138
42:27.8,500.14,42:27.8,313.974,42:27.8,1.31123
42:27.9,500.204,42:27.9,314.159,42:27.9,1.31146
42:28.0,500.087,42:28.0,314.093,42:28.0,1.31171
42:28.1,500.133,42:28.1,313.952,42:28.1,1.3115
42:28.2,500.102,42:28.2,314.051,42:28.2,1.31139
42:28.3,500.076,42:28.3,314.06,42:28.3,1.31155
42:28.4,500.04,42:28.4,314.149,42:28.4,1.31136
42:28.5,500.068,42:28.5,314.084,42:28.5,1.31084
42:28.6,500.004,42:28.6,314.048,42:28.6,1.31169
42:28.7,500.07,42:28.7,314.035,42:28.7,1.31129
42:28.8,500.008,42:28.8,314.009,42:28.8,1.31129
42:28.9,500.021,42:28.9,314.078,42:28.9,1.31122
42:29.0,500.078,42:29.0,314.176,42:29.0,1.31172
42:29.1,500.074,42:29.1,314.132,42:29.1,1.31142
42:29.2,500.121,42:29.2,313.962,42:29.2,1.3117
42:29.3,500.048,42:29.3,314.239,42:29.3,1.31165
42:29.4,500.033,42:29.4,313.971,42:29.4,1.31132
42:29.5,500.008,42:29.5,314.143,42:29.5,1.31147
42:29.6,499.963,42:29.6,314.099,42:29.6,1.31167
42:29.7,500.064,42:29.7,314.076,42:29.7,1.31155
42:29.8,500.04,42:29.8,314.057,42:29.8,1.3118
42:29.9,500.107,42:29.9,314.13,42:29.9,1.31198
42:30.0,500.069,42:30.0,314.025,42:30.0,1.31124
42:30.1,500.043,42:30.1,314.196,42:30.1,1.31111
42:30.2,500.025,42:30.2,314.09,42:30.2,1.31118
42:30.3,500.088,42:30.3,314.075,42:30.3,1.31136
42:30.4,500.079,42:30.4,314.093,42:30.4,1.31168
42:30.5,500.071,42:30.5,313.972,42:30.5,1.3117
42:30.6,500.024,42:30.6,313.997,42:30.6,1.31176
42:30.7,500.066,42:30.7,314.218,42:30.7,1.31178
42:30.8,500.029,42:30.8,313.944,42:30.8,1.31158
42:30.9,500.053,42:30.9,314.006,42:30.9,1.31121
42:31.0,500.006,42:31.0,314.184,42:31.0,1.3113
42:31.1,499.983,42:31.1,314.167,42:31.1,1.31138
42:31.2,499.998,42:31.2,314.078,42:31.2,1.31131
42:31.3,499.981,42:31.3,314.048,42:31.3,1.31134
42:31.4,499.99,42:31.4,314.17,42:31.4,1.31119
42:31.5,499.982,42:31.5,314.002,42:31.5,1.3112
42:31.6,500.074,42:31.6,314.04,42:31.6,1.31108
42:31.7,500.011,42:31.7,314.024,42:31.7,1.31153
42:31.8,500.007,42:31.8,313.935,42:31.8,1.31161
42:31.9,499.991,42:31.9,314.053,42:31.9,1.31121
42:32.0,499.885,42:32.0,314.208,42:32.0,1.31151
42:32.1,499.998,42:32.1,314.058,42:32.1,1.31214
42:32.2,500.085,42:32.2,314.002,42:32.2,1.31148
42:32.3,500.003,42:32.3,314.032,42:32.3,1.31166
42:32.4,499.988,42:32.4,314.024,42:32.4,1.31151
42:32.5,500.035,42:32.5,313.987,42:32.5,1.31189
42:32.6,500.067,42:32.6,314.101,42:32.6,1.31178
42:32.7,499.974,42:32.7,314.083,42:32.7,1.31139
42:32.8,500.049,42:32.8,314.293,42:32.8,1.31167
42:32.9,499.945,42:32.9,314.248,42:32.9,1.31091
42:33.0,500.074,42:33.0,314.089,42:33.0,1.31111
42:33.1,499.992,42:33.1,314.17,42:33.1,1.311
42:33.2,499.966,42:33.2,314.062,42:33.2,1.31132
42:33.3,499.978,42:33.3,314.119,42:33.3,1.31153
42:33.4,500.083,42:33.4,314.065,42:33.4,1.31194
42:33.5,500.083,42:33.5,314.212,42:33.5,1.31146
42:33.6,500.093,42:33.6,314.104,42:33.6,1.31182
42:33.7,499.999,42:33.7,314.116,42:33.7,1.31103
42:33.8,499.908,42:33.8,314.166,42:33.8,1.3112
42:33.9,500.018,42:33.9,314.035,42:33.9,1.31162
42:34.0,499.978,42:34.0,313.997,42:34.0,1.31138
42:34.1,500.003,42:34.1,314.143,42:34.1,1.31147
42:34.2,499.96,42:34.2,314.197,42:34.2,1.31134
42:34.3,499.993,42:34.3,314.086,42:34.3,1.31153
42:34.4,499.959,42:34.4,314.025,42:34.4,1.31147
42:34.5,499.92,42:34.5,314.084,42:34.5,1.3117
42:34.6,499.936,42:34.6,314.014,42:34.6,1.31149
42:34.7,499.991,42:34.7,314.004,42:34.7,1.31136
42:34.8,499.913,42:34.8,313.923,42:34.8,1.31155
42:34.9,499.971,42:34.9,314.15,42:34.9,1.31118
42:35.0,499.896,42:35.0,313.958,42:35.0,1.31123
42:35.1,499.96,42:35.1,314.085,42:35.1,1.31128
42:35.2,499.919,42:35.2,314.069,42:35.2,1.31114
42:35.3,499.933,42:35.3,314.085,42:35.3,1.31076
42:35.4,500.012,42:35.4,314.062,42:35.4,1.31112
42:35.5,499.908,42:35.5,313.997,42:35.5,1.31139
42:35.6,499.935,42:35.6,314.014,42:35.6,1.31114
42:35.7,499.826,42:35.7,314.007,42:35.7,1.31109
42:35.8,499.922,42:35.8,314.157,42:35.8,1.31153
42:35.9,499.897,42:35.9,314.139,42:35.9,1.31098
42:36.0,499.863,42:36.0,314.092,42:36.0,1.31177
42:36.1,499.94,42:36.1,313.911,42:36.1,1.3113
42:36.2,499.909,42:36.2,313.957,42:36.2,1.31127
42:36.3,499.93,42:36.3,314.005,42:36.3,1.31141
42:36.4,500.06,42:36.4,314.128,42:36.4,1.31145
42:36.5,499.899,42:36.5,314.035,42:36.5,1.31131
42:36.6,499.914,42:36.6,314.041,42:36.6,1.31134
42:36.7,499.921,42:36.7,314.025,42:36.7,1.31112
42:36.8,500.035,42:36.8,314.021,42:36.8,1.31143
42:36.9,500.032,42:36.9,314.012,42:36.9,1.31129
42:37.0,499.94,42:37.0,313.994,42:37.0,1.31101
42:37.1,499.946,42:37.1,314.125,42:37.1,1.31146
42:37.2,499.844,42:37.2,314.134,42:37.2,1.31107
42:37.3,499.959,42:37.3,314.044,42:37.3,1.31114
42:37.4,499.832,42:37.4,314.044,42:37.4,1.31138
42:37.5,499.982,42:37.5,314.001,42:37.5,1.31115
42:37.6,499.715,42:37.6,314.035,42:37.6,1.3106
42:37.7,499.981,42:37.7,314.141,42:37.7,1.31132
42:37.8,499.858,42:37.8,314.162,42:37.8,1.31119
42:37.9,499.962,42:37.9,314.08,42:37.9,1.31155
42:38.0,499.929,42:38.0,314.074,42:38.0,1.3114
42:38.1,499.911,42:38.1,314.194,42:38.1,1.31103
42:38.2,500.036,42:38.2,313.988,42:38.2,1.31147
42:38.3,500.084,42:38.3,313.984,42:38.3,1.3113
42:38.4,499.991,42:38.4,314.046,42:38.4,1.31141
42:38.5,499.906,42:38.5,314.198,42:38.5,1.3111
42:38.6,499.891,42:38.6,313.94,42:38.6,1.31049
42:38.7,499.975,42:38.7,314.099,42:38.7,1.31118
42:38.8,499.908,42:38.8,314.142,42:38.8,1.31103
42:38.9,499.952,42:38.9,314.149,42:38.9,1.31093
42:39.0,499.966,42:39.0,313.981,42:39.0,1.311
42:39.1,500.027,42:39.1,313.807,42:39.1,1.31094
42:39.2,499.967,42:39.2,314.204,42:39.2,1.31101
42:39.3,499.935,42:39.3,314.107,42:39.3,1.31088
42:39.4,499.938,42:39.4,313.978,42:39.4,1.31087
